Competitor,Category,Trust mechanisms,Pricing model,Price range,Cities,Source links,Notes
Meetup,Curated events,"Group organizers, community rules, profiles, event history",B2C (organizers subscription) + optional group dues,From $29.99/month,Global,https://help.meetup.com/hc/en-us/articles/28677898455956-Organizer-subscription-prices-overview | https://www.meetup.com/blog/meetup-subscription-pricing/,Infrastructure-level trust via communities; does not inherently solve fear of attending alone
Timeleft,Curated events,"Small curated groups, managed logistics, restaurant partners",Subscription + per-event ticket,$16 per ticket OR from $26/month,200+ cities worldwide,https://www.latimes.com/lifestyle/story/2024-12-17/timeleft-app-friends | https://help.timeleft.com/en/articles/8871853-what-budget-can-i-expect,Going-alone-together model; depends on city density
222,Curated events,"Personality questionnaire, manual curation, invitation-only",Per-event curation fee,$2.22–$17.22 per event,Primarily Los Angeles,https://techcrunch.com/2022/11/14/222-app-friends/ | https://www.latimes.com/lifestyle/story/2023-10-18/222-app-friends,Trust via selection and light financial friction
InterNations,Curated community,"Approved membership, local ambassadors, expat verification",Freemium to paid membership,Not public,Global (expat hubs),https://www.internations.org/support/knowledge-base/article/656 | https://www.internations.org/press/fileadmin/user_upload/Press/Internations_Factsheet.pdf,Strong for relocation; pricing opaque
Soho House,Curated community,"Selective membership approval, private houses, member norms",Membership subscription,From ~ILS 729/month (example Tel Aviv),48 houses globally,https://www.sohohouse.com/en-israel/houses/soho-house-tel-aviv/membership | https://www.sohohouse.com/membership,Premium-only segment
The Ned,Curated community,"Membership approval, private club access",Annual membership + initiation,"£250–£3,465/year or ~$5,000/year","London, Washington DC",https://www.cntraveller.com/article/the-ned-london-membership | https://wtop.com/business-finance/2025/01/the-ned-dc-membership/,Elite private club model
NeueHouse,Curated community,"Curated creative community, semi-private spaces",Annual membership,"$3,000/year + $200 fee","New York, Los Angeles",https://coolhunting.com/design/neuehouse-membership/ | https://www.neuehouse.com/membership,Professional creative audience
CitySocializer,Curated events,"Age-based filtering (25+), reliability norms",Membership + tickets,From £9.99/month,UK cities,https://techcrunch.com/2020/11/05/citysocializer-friends/ | https://www.uktech.news/consumertech/citysocializer-20201106,Life-stage based trust
Skip the Small Talk,Curated events,"Facilitated conversations, structured exercises",Per-event ticket,$10–$25 per event,US cities + online,https://www.skipthesmalltalk.com/store | https://www.skipthesmalltalk.com/events,Reduces social anxiety via structure
Bumble For Friends,Open matching,"Photo verification, optional ID verification, moderation",Freemium + subscription,Not public,Global,https://bumble.com/help/bumble-for-friends | https://bumble.com/terms,Dating-like perception limits trust
